PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	He, Shu; Peng, Jing; Li, Jianbin; Xu, Liping								Impact of Platform Owner's Entry on Third-Party Stores								INFORMATION SYSTEMS RESEARCH				31	4			1467	1484		10.1287/isre.2020.0957				DEC 2020	2020										0	0	0	0	0	0	0			1047-7047	1526-5536		WOS:000599346400022		
J	Naujoks, Tobias								Marketing functions and B2C e-marketplaces: An exploratory analysis								JOURNAL OF MARKETING CHANNELS				26	4			250	262		10.1080/1046669X.2020.1828687		OCT 2020		OCT 1 2020	2020										0	0	0	0	0	0	0			1046-669X	1540-7039		WOS:000576458400001		
J	Shen, Bin; Xu, Xiaoyan; Yuan, Quan								Selling secondhand products through an online platform with blockchain								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				142						102066	10.1016/j.tre.2020.102066				OCT 2020	2020										0	0	0	0	0	0	0			1366-5545			WOS:000579040400011	32905037	
J	Difrancesco, Rita Maria; Huchzermeier, Arnd					Huchzermeier, Arnd/0000-0003-2178-3254			Multichannel retail competition with product returns: Effects of restocking fee legislation								ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS				43						100993	10.1016/j.elerap.2020.100993				SEP-OCT 2020	2020										0	0	0	0	0	0	0			1567-4223	1873-7846		WOS:000580624600005		
J	He, Bo; Mirchandani, Prakash; Wang, Yong								Removing barriers for grocery stores: O2O platform and self-scheduling delivery capacity								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				141						102036	10.1016/j.tre.2020.102036				SEP 2020	2020										0	0	0	0	0	0	0			1366-5545			WOS:000571530000006		
J	Jia, Dongfeng; Li, Sijie								Optimal decisions and distribution channel choice of closed -loop supply chain when e -retailer offers online marketplace								JOURNAL OF CLEANER PRODUCTION				265						121767	10.1016/j.jclepro.2020.121767				AUG 20 2020	2020										4	0	0	0	0	0	4			0959-6526	1879-1786		WOS:000540487400020		
J	Chen, Huiru; Hao, Yifei; Yan, Yingchen								The introduction strategy of the emerging online marketplace considering risk attitude and channel power								INTERNATIONAL JOURNAL OF GENERAL SYSTEMS				49	5			470	496		10.1080/03081079.2020.1748617				JUL 3 2020	2020										0	0	0	0	0	0	0			0308-1079	1563-5104		WOS:000555111500002		
J	Chen, Pingping; Zhao, Ruiqing; Yan, Yingchen; Li, Xiang								Promotional pricing and online business model choice in the presence of retail competition								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				94						102085	10.1016/j.omega.2019.07.001				JUL 2020	2020										3	0	0	0	0	0	3			0305-0483	1873-5274		WOS:000528206400015		
J	Sun, Jiong; Zhang, Xing; Zhu, Qingyuan					sun, jiong/0000-0002-9835-9075			Counterfeiters in Online Marketplaces: Stealing Your Sales or Sharing Your Costs								JOURNAL OF RETAILING				96	2			189	202		10.1016/j.jretai.2019.07.002				JUN 2020	2020										1	0	0	0	0	0	1			0022-4359	1873-3271		WOS:000544266400004		
J	Ye, Fei; Xie, Zefei; Tong, Yang; Li, Yina					ye, fei/0000-0002-0749-7393; Tong, Yang/0000-0003-2332-238X			Promised delivery time: Implications for retailer's optimal sales channel strategy								COMPUTERS & INDUSTRIAL ENGINEERING				144						106474	10.1016/j.cie.2020.106474				JUN 2020	2020										1	0	0	0	0	0	1			0360-8352	1879-0550		WOS:000535972200035		
J	Li, Xiang								Reducing channel costs by investing in smart supply chain technologies								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				137						101927	10.1016/j.tre.2020.101927				MAY 2020	2020										1	0	0	0	0	0	1			1366-5545			WOS:000529057800009		
J	Liu, Jinjin; Ke, Hua					Ke, Hua/0000-0001-7206-1994			Firms' pricing strategies under different decision sequences in dual-format online retailing								SOFT COMPUTING				24	10			7811	7826		10.1007/s00500-019-04399-0		OCT 2019		MAY 2020	2020										3	0	0	0	0	0	3			1432-7643	1433-7479		WOS:000488941000001		
J	Pu, Xujin; Sun, Shuxing; Shao, Jing								Direct Selling, Reselling, or Agency Selling? Manufacturer's Online Distribution Strategies and Their Impact								INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE				24	2			232	254		10.1080/10864415.2020.1715530				APR 2 2020	2020										0	0	0	0	0	0	0			1086-4415	1557-9301		WOS:000517362300005		
J	Zhou, Rui; Liao, Yi; Shen, Wenjing; Yang, Shilei								Channel selection and fulfillment service contracts in the presence of asymmetric service information								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				222						107504	10.1016/j.ijpe.2019.09.025				APR 2020	2020										10	0	0	0	0	0	10			0925-5273	1873-7579		WOS:000525321500006		
J	Liu, Weihua; Yan, Xiaoyu; Li, Xiang; Wei, Wanying								The impacts of market size and data-driven marketing on the sales mode selection in an Internet platform based supply chain								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				136						101914	10.1016/j.tre.2020.101914				APR 2020	2020										3	0	0	0	0	0	3			1366-5545			WOS:000523602300021		
J	Qin, Xuelian; Liu, Zhixue; Tian, Lin								The strategic analysis of logistics service sharing in an e-commerce platform								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				92						102153	10.1016/j.omega.2019.102153				APR 2020	2020										3	0	0	0	0	0	3			0305-0483	1873-5274		WOS:000510947600009		
J	Wang, Tong-Yuan; Li, Yan-Lai; Yang, Hong-Tai; Chin, Kwai-Sang; Wang, Zeng-Qiang				Yang, Hongtai/AAZ-1699-2020; Wang, Tong-Yuan/ABI-7907-2020	Wang, Tong-Yuan/0000-0002-4800-7450; Yang, Hongtai/0000-0002-3608-1936			Information sharing strategies in a hybrid-format online retailing supply chain								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH											10.1080/00207543.2020.1746851		MAR 2020			2020										0	0	0	0	0	0	0			0020-7543	1366-588X		WOS:000523668700001		
J	Liu, Jinjin; Ke, Hua								Firms' preferences for retailing formats considering one manufacturer's emission reduction investment								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH											10.1080/00207543.2020.1745314		MAR 2020			2020										2	0	0	0	0	0	2			0020-7543	1366-588X		WOS:000524097000001		
J	Jia, Xingxing								Decision-making of online channels under three power structures								MEASUREMENT & CONTROL				53	3-4			296	310		10.1177/0020294019879172				MAR 2020	2020										1	0	0	0	0	0	1			0020-2940	2051-8730		WOS:000537193300004		
J	Pi, Shangyu; Wang, Yang								An E-Tailer's Operational Strategy under Different Supply Chain Structures								SUSTAINABILITY				12	5					2141	10.3390/su12052141				MAR 1 2020	2020										0	0	0	0	0	0	0				2071-1050		WOS:000522470900442		
